Date,Price,Open,High,Low,Vol.,Change %
1/1/2014,1240.3,1204,1280.1,1203.7,611.97K,3.10%
2/1/2014,1321.9,1243.2,1345.9,1241.2,104.74K,6.58%
3/1/2014,1284.1,1330.6,1392.2,1283.4,600.36K,-2.86%
4/1/2014,1296,1283.6,1331,1268.5,86.98K,0.93%
5/1/2014,1246.3,1292.1,1315.7,1243,568.51K,-3.83%
6/1/2014,1322.4,1247.5,1330.3,1240.9,33.37K,6.11%
7/1/2014,1282.8,1327.8,1347,1281.3,341.64K,-2.99%
8/1/2014,1287.4,1284.2,1324.3,1273.4,2.19M,0.36%
9/1/2014,1212.3,1288.5,1290.9,1205,2.68M,-5.83%
10/1/2014,1172.4,1208.5,1256.2,1161.9,111.55K,-3.29%
11/1/2014,1176,1171.1,1208.2,1132,585.60K,0.31%
12/1/2014,1184.9,1159.2,1239.4,1143.4,85.96K,0.76%
1/1/2015,1280,1185,1308.8,1168.3,631.89K,8.03%
2/1/2015,1214,1280.2,1286.5,1190.8,66.38K,-5.16%
3/1/2015,1184.1,1214.9,1223.7,1142.4,730.99K,-2.46%
4/1/2015,1183.4,1184,1225,1175.2,58.90K,-0.06%
5/1/2015,1190.7,1184,1232.8,1170,582.63K,0.62%
6/1/2015,1172.8,1193.3,1205.5,1163.2,22.07K,-1.50%
7/1/2015,1095.1,1171.6,1175.3,1072.8,451.20K,-6.63%
8/1/2015,1132.5,1095.1,1169.8,1080.2,3.18M,3.42%
9/1/2015,1116,1133.8,1156.4,1097.7,2.41M,-1.46%
10/1/2015,1142.3,1115.9,1192.1,1106,70.57K,2.36%
11/1/2015,1066,1142.2,1143.1,1052.5,611.05K,-6.68%
12/1/2015,1060.8,1064.8,1088.8,1046.6,91.25K,-0.49%
1/1/2016,1116.8,1062.1,1128.7,1061.9,654.09K,5.28%
2/1/2016,1235.1,1116.2,1264.1,1116.2,136.29K,10.59%
3/1/2016,1237,1239.6,1287.8,1207.7,883.60K,0.15%
4/1/2016,1292.6,1236,1300.5,1211.8,117.74K,4.49%
5/1/2016,1220.3,1296.6,1308,1205,938.19K,-5.59%
6/1/2016,1324,1220.9,1365.5,1212.3,81.17K,8.50%
7/1/2016,1357.5,1329.1,1380.9,1314.7,578.21K,2.53%
8/1/2016,1311.4,1357.2,1374.2,1306.9,3.98M,-3.40%
9/1/2016,1320.9,1311.7,1357.6,1305.5,3.30M,0.72%
10/1/2016,1276.9,1324.6,1325.7,1246.9,169.63K,-3.33%
11/1/2016,1177,1281.9,1341,1172.8,833.00K,-7.82%
12/1/2016,1154.3,1178.7,1192.6,1127.2,90.69K,-1.93%
1/1/2017,1214.5,1154.4,1223,1149.7,738.56K,5.22%
2/1/2017,1257.2,1216,1268.1,1203.4,114.90K,3.52%
3/1/2017,1254.5,1252,1264.2,1198,802.35K,-0.21%
4/1/2017,1271.7,1254.3,1300.3,1248.8,82.43K,1.37%
5/1/2017,1279,1273.1,1280,1217.8,697.15K,0.57%
6/1/2017,1246,1274.8,1302.1,1240.9,43.11K,-2.58%
7/1/2017,1273.4,1245.7,1277.3,1207.6,532.99K,2.20%
8/1/2017,1322.2,1275.6,1331.9,1257.1,6.47M,3.83%
